ticker,price,market_cap,sector,final_score,recommendation,piotroski,altman_z,beneish_m,magic_rank,growth_score,upside,risk_flags
NEM,109.73999786376953,119755194368,Basic Materials,92.33116043006203,STRONG_BUY,9.0,7.85001696994206,-2.6590597513693397,9.91558021503101,7.5,32.13049282177132,
APH,138.68099975585938,170468769792,Technology,90.08035587041228,STRONG_BUY,7.0,12.30651949668168,-2.39429502012148,6.706844601872806,10.0,21.862403860309367,
FIX,1404.0400390625,49523232768,Industrials,88.97398422789584,STRONG_BUY,7.0,16.417586966204755,-2.3857443055200593,6.326305099099811,10.0,19.654707363029537,
DECK,102.70999908447266,14969451520,Consumer Cyclical,82.66771781806888,STRONG_BUY,8.0,23.162056710534216,-2.394846623590858,9.667192242367774,5.0,25.59634032700695,
UHS,195.6750030517578,11953128448,Healthcare,81.97753655221564,STRONG_BUY,8.0,4.214579169621986,-2.3647502135934877,9.322101609441152,5.0,23.674458273031842,
HWM,241.19000244140625,97078976512,Industrials,80.42438118103928,STRONG_BUY,8.0,21.064972078719986,-2.563821805461322,6.000000235941793,8.0,16.091047375822345,
NVDA,184.82000732421875,4492001542144,Technology,79.82105735578634,BUY,4.0,105.15135284251508,-1.1830819492220943,6.577195344559835,10.0,43.382745102442435,ACCOUNTING_RISK
CHRW,172.97909545898438,20518924288,Industrials,79.59819850536314,BUY,7.0,12.928721180141235,-2.7955740855591524,6.827207618701769,7.5,16.77711660129294,
EME,729.0700073242188,32637448192,Industrials,79.56460088252405,BUY,5.0,10.219837358854718,-2.1993242532732804,7.7093530689694525,9.0,16.31256141125181,
FSLR,199.28500366210938,21385472000,Technology,79.12240362423815,BUY,8.0,10.275786516576982,-2.2581271679455783,7.894535145452405,5.0,28.710136380808404,
APP,451.3699951171875,152549523456,Communication Services,79.04149210080101,BUY,8.0,38.68284526638239,-2.428011867027424,6.354079383733836,6.0,45.11376633042363,
IBKR,69.12000274658203,117504925696,Financial Services,78.76639110821863,BUY,6.0,1.6981038701556677,-2.336675231606882,8.88319555410931,7.0,20.081013746927738,
LULU,161.0,19103526912,Consumer Cyclical,78.66666666666666,BUY,7.0,11.940497648648012,-2.8287943988719375,10.0,4.0,27.639751552795033,
LRCX,217.47000122070312,273148837888,Technology,78.59563656379899,BUY,8.0,33.777281638084695,-2.347333602326142,6.131151615232833,6.0,28.753390549640567,
LLY,981.0399780273438,878049165312,Healthcare,78.41822857126348,BUY,7.0,14.401043343397347,-1.8517788070410668,6.625780952298408,7.0,28.43513294265374,
MPWR,1092.43994140625,53658464256,Technology,78.2441895720793,BUY,5.0,91.05139670725231,-2.450134322616594,5.455428119372988,8.0,23.576587492965906,
INCY,92.91500091552734,18491430912,Healthcare,78.159015170519,BUY,6.0,15.862000030970837,-2.456252977970142,10.0,6.0,15.159015170519,
FOXA,57.849998474121094,24609161216,Communication Services,77.1995270469997,BUY,7.0,5.5813807957616515,-2.621531448164072,9.266430190166519,4.0,26.18842165165516,
CMI,545.4400024414062,75360968704,Industrials,77.12773730276558,BUY,6.0,8.273383548060334,-2.55633534993436,7.062328868812697,7.5,15.50307956514018,
LDOS,167.55999755859375,21423413248,Technology,76.83329657422304,BUY,7.0,5.777439456405574,-2.623448650946653,9.083314953778185,4.0,28.312248229066157,
TT,421.7850036621094,93526188032,Industrials,76.4832447521806,BUY,9.0,10.95423957769027,-2.47293935294138,7.026033163663542,7.0,11.431178424853508,
AMAT,347.5,275779420160,Technology,76.4616839105436,BUY,6.0,27.284292360777986,-2.6990427852169097,6.7308419552717975,6.0,22.302158273381295,
PTC,157.52000427246094,18744268800,Technology,76.27158279753596,BUY,9.0,9.235809897845176,-2.356103167733113,7.135791398767976,4.0,22.841540599062444,
MRK,115.16999816894531,284794847232,Healthcare,75.56023994610158,BUY,4.0,7.1208872058680885,-2.2596244144348567,8.50847715511529,8.0,12.876618969204326,
KLAC,1439.074951171875,189083418624,Technology,75.526556693889,BUY,8.0,22.663950297554706,-2.2867068351555435,6.2808903773100155,5.5,18.13144260593565,
WAB,239.7899932861328,40993820672,Industrials,75.33948076783662,BUY,6.0,5.244400575481123,-2.466584320370526,4.669740383918313,7.0,20.93915848020955,
GILD,144.91000366210938,179894255616,Healthcare,75.23166312429781,BUY,8.0,7.904442531681442,-2.4501677251220237,7.742486282363035,7.0,10.41335722623842,
RL,338.9849853515625,20556273664,Consumer Cyclical,75.00334506887941,BUY,8.0,10.842153807394443,-2.7798119391929332,7.335005867773041,4.0,23.309296300097408,
ANET,133.4600067138672,168101969920,Technology,74.98768797253402,BUY,4.0,31.56673843115584,-2.397042711435731,6.160510652933676,7.0,31.87471238281654,
IEX,190.0,14221393920,Industrials,74.81981878457142,BUY,8.0,8.952950600308903,-2.540441318386059,4.993242725619044,5.5,21.052631578947366,
GOOG,303.114990234375,3666782191616,Communication Services,74.31789530198564,BUY,6.0,26.101868932485594,-2.6351287320240817,7.158947650992822,5.0,23.715425525488516,
GOOGL,304.30999755859375,3681359233024,Communication Services,74.30092950180358,BUY,6.0,26.18689411623815,-2.6351287320240817,7.150464750901794,5.0,27.337255794689536,
NDSN,269.7300109863281,15046510592,Industrials,73.92207278191394,BUY,6.0,9.365526732436098,-2.671208628526938,5.46103639095697,6.0,20.490856323908783,
AME,214.92999267578125,49477718016,Industrials,73.33948663325256,BUY,6.0,12.89647052755221,-2.4331105330237293,5.382833914065435,6.0,19.573818805121693,
MNST,78.05999755859375,76363808768,Consumer Defensive,73.219858640529,BUY,7.0,53.46917400027326,-2.2888365549736114,6.628631078628556,6.0,15.295929816605222,
PM,176.11500549316406,274154635264,Consumer Defensive,73.01038908398581,BUY,7.0,6.797645499100503,-2.4072202327104053,7.431018951081448,5.5,14.98168451515625,
